"p_m","p_s","a_p_m","r_m","r_s","a_r_m","c_sp","c_tx","a_m","m_tb","a_tx","chain","round"
0.0173960146657222,0.0807125708481903,1.61080848246025,0.00746476074418882,0.147888410532346,0.481872045633502,0.32084723370085,0.0149014818858494,4.1004062685902,0.00557192045359531,11.0014761727828,1,11
0.022573886186426,0.185678794247067,1.11346226490486,0.0261564304937789,0.416236133693101,0.129514034549535,0.100029389446274,0.0209163905729849,7.04642398244628,0.00269284298629816,4.78903026796502,1,12
0.0381073246396268,0.113144418107726,1.66262459035586,0.11823469130679,0.444554251308347,0.0869189244468394,0.298426985360298,0.0172331647329597,8.63406719572132,0.00423019845867599,15.8401784173059,2,1
0.0371925702260966,0.0945139054648723,1.08695469382669,0.028455327542346,0.0825538443018158,0.408241190098459,0.415756205485662,0.0314050267119892,7.97218347345139,0.00266099622236402,4.38231131201596,2,2
0.0295381041452937,0.106637497918199,1.40007724808156,0.0071724811368271,0.189279239808506,0.332888087536598,0.392109130813581,0.0392497874595799,2.56554518730936,0.00654776377714644,3.10075496451698,2,3
0.0263375949225418,0.116924964858038,1.4245180161449,0.0231143331382412,0.190951823926847,0.325708625157896,0.36969690016131,0.0301012906964934,6.84541374574663,0.00371258116247189,4.51195056959797,2,4
0.0203497200214099,0.0854138087825382,1.11178686703646,0.0265493901237062,0.158858578319561,0.163011669710202,0.37150501099692,0.0359548981837672,6.84024835825562,0.00351328664817058,2.85320365963085,2,5
0.0246810171198551,0.167723654530945,1.38681058994937,0.0107388467818706,0.275205934262934,0.577443164519106,0.316391381682215,0.0221805624070749,2.93740307689473,0.00798166184441696,7.37241692204548,2,6
0.0221900346052527,0.187150702099662,1.50274714457629,0.00676465944713243,0.389152527407283,0.548959482476899,0.207924309223113,0.0154617072199918,3.39828053636019,0.00799638968183883,12.219099478981,2,7
0.0237215537819732,0.118776153760136,2.23329215693253,0.00705116408094721,0.239370442715209,0.865443844781972,0.425352411943016,0.0208038451182066,6.41944355368471,0.00489629872557757,5.61564111313331,2,8
0.0153222071258951,0.158238789524701,1.8426364496857,0.00799202849874252,0.282496854854483,0.899457087593492,0.185804685515989,0.0296324952533578,7.87195016151479,0.003714668002858,4.78617963836633,2,9
0.0205654629308542,0.160006187644905,2.11257364258678,0.0059175028496045,0.362026917251868,0.91238484556966,0.486235798589882,0.0309402561220363,3.66475703490471,0.00899541493344898,5.29525147003878,2,10
0.0205407130381567,0.12815702529427,1.59295436143447,0.01104450675864,0.293664704583854,0.50335796063797,0.381058787511014,0.0296651175336844,11.0390558882547,0.00329371340781646,4.33974613314885,2,11
0.0198937055714888,0.121083298621518,1.5451191060265,0.00456713606715635,0.242122565218745,0.59958854674627,0.14878789908979,0.0222710616155762,11.5715389257359,0.00183890482493697,7.37279404820468,2,12
