"p_m","p_s","a_p_m","r_m","r_s","a_r_m","c_sp","c_tx","a_m","m_tb","a_tx","chain","round"
0.0546263070221553,0.145482797735835,1.14683254171103,0.032357621546532,0.451631100992538,0.300862418710948,0.30822785821054,0.0105638807954913,4.88223733279654,0.00790709044966777,14.3639581705308,3,1
0.0425955485985092,0.169833029147463,2.08710197352918,0.0488013438568884,0.477872873414773,0.476669071588626,0.437599666428333,0.0168557491935074,7.5738802946598,0.00711063914316518,4.77252327883551,3,2
0.0321070256893654,0.0801082613376738,2.14212068126326,0.00430667080618068,0.336088467852976,0.536729738303748,0.363847128861535,0.0225930249525641,8.71814857909868,0.00348772668839215,9.75837803550856,3,3
0.0427591152241504,0.101727590742523,1.96193329852741,0.0117560163707511,0.429356620137661,0.221773353092823,0.388938228139918,0.0205982939710388,4.44129918948863,0.00416472481498475,10.5258107146743,3,4
0.0486916466313167,0.0954082255964128,1.16489284692776,0.0268616995669311,0.429931877545269,0.0530247615391335,0.38187581143397,0.0233956879006782,4.85460307779941,0.00323394703315841,9.45585909089864,3,5
0.0496971935015149,0.122362724081486,1.32732341056479,0.0174279685901191,0.408821489783404,0.126077521582096,0.435439040555372,0.0154720924499237,7.35017957289408,0.00265506828724771,10.9996220592577,3,6
0.0421367887210339,0.0925685412746563,1.1864802016483,0.019152922668664,0.358724669065307,0.013468710091484,0.424552679804143,0.0240039383951122,6.13391835924821,0.00188927660309886,6.73356746492923,3,7
0.0419130942436818,0.0624476533526915,1.32367071698137,0.039521678130687,0.261651102962622,0.0094997723081743,0.43580617367904,0.0311010788978688,6.84001725349681,0.00171404913263092,3.80239368143313,3,8
0.038619314155452,0.0866916355833842,1.17880150813339,0.0547134971952524,0.327807428721277,0.027388896200095,0.350409056180236,0.0158747546433322,6.02718558736238,0.0026369970312783,8.71311117376398,3,9
0.0505920366197707,0.097121483713291,1.04290114155277,0.0100360145627917,0.364212913732855,0.0149212702678735,0.365919100091853,0.0246994567253259,3.19554364797438,0.00373946557194036,5.84265019471857,3,10
0.037422056072947,0.0738637513117853,1.31626058184461,0.0134835491380082,0.237075592390344,0.0374350245525383,0.392962946843853,0.0225622136443764,6.05704593225667,0.00230315464417756,5.54175322669118,3,11
0.0386064552509225,0.0735585826688963,1.08899191181571,0.0264106927536234,0.236742111068452,0.0506464417141554,0.260873635252542,0.0187161458647484,4.2746294749834,0.00397570798618624,6.63775178519393,3,12
