"p_m","p_s","a_p_m","r_m","r_s","a_r_m","c_sp","c_tx","a_m","m_tb","a_tx","chain","round"
0.0419986241348819,0.180827015812135,1.09619403371516,0.0104983278647632,0.373303373761979,0.289182004957455,0.382761235469765,0.0103658461157445,6.50834609344598,0.00387083790466238,9.93538725584528,1,12
0.0497696268182611,0.130602409523659,1.24964891623896,0.0191629453337518,0.354613178490123,0.183557852116437,0.360710501692783,0.00882379353663535,3.71257169014271,0.00678351145762787,5.6523961777547,2,1
0.0461790767080082,0.153399468632324,1.48503345618841,0.0391798498109373,0.441898150115682,0.259686562375557,0.325039543385201,0.0157196767190606,3.51334604212477,0.0105460934348428,7.17129369829088,2,2
0.0382585788182649,0.148999252246348,1.15489957323179,0.0389692174793451,0.406824644063586,0.162966000921428,0.395953170146986,0.0117587385840171,1.73639563077664,0.0167981902385792,8.34025991093951,2,3
0.0541911878120581,0.171953128319735,1.06571037215516,0.0343568123150477,0.397975970671538,0.15381970543986,0.436270127530261,0.0111148623586062,1.93862349728518,0.0131962449585842,9.59340742776937,2,4
0.0443510272287901,0.195146274688934,1.18304092478636,0.010450714132977,0.456507184355911,0.286446572849006,0.332451875743613,0.0163548625065363,4.88683929951009,0.00512075607214747,6.02084999609517,2,5
0.0396893324014598,0.174020023198978,1.26693536812099,0.015358864710441,0.45043670862173,0.316725382376567,0.457217297872189,0.0177557303403837,5.23090220165722,0.00694795894824717,4.55858783547791,2,6
0.0310981705692507,0.189608768358743,2.04476316200168,0.0049896173214069,0.43848173654033,0.689900435006245,0.455498664772768,0.0132440173771621,6.87884987120968,0.00362173909997413,7.58541821245349,2,7
0.0382693519072676,0.159265027454498,1.57154680388953,0.0155823081707467,0.428817962551676,0.332756959285838,0.431991020458201,0.00693563297721344,3.18694434065336,0.00857523231034671,11.9042391466404,2,8
0.0366814113123662,0.158220916031049,2.16703808336668,0.00650811482894607,0.47658337330968,0.593567710301876,0.47422621373728,0.00821308652399905,1.85720470979639,0.0144427534464501,12.6437912884339,2,9
0.0314834468604738,0.163658572527539,2.45001196173599,0.00789091537020173,0.449217277432899,0.892506496260705,0.489499559217824,0.0101041654942773,6.36810185658635,0.00568070148403514,10.988897668479,2,10
0.030263182895758,0.186170053605821,2.37095460054224,0.0114810037836232,0.394737717676565,0.731936229802591,0.342525498576542,0.00621489628537554,7.79118788988166,0.0036252756605751,13.9878372732626,2,11
