"p_m","p_s","a_p_m","r_m","r_s","c_sp","c_tx","a_m","m_tb","a_tx","a_p_s","a_r_m_recip","a_r_s_recip","chain","round"
0.0452169491095129,0.124216667203053,1.08313916711097,0.0392259553801566,0.254646131864601,0.431601364240729,0.0126471946985195,7.48331029307478,0.00303839093030474,8.9795179761135,1.37685531876214,17.1553901793914,7.96390230720247,1,11
0.0443009349413157,0.147689429298424,1.09320725806592,0.018066966494704,0.311971964457381,0.438257860782496,0.0122131746544617,7.98040942829633,0.00442858685344872,9.00668749700262,1.65609124944531,18.1294628475363,1.92975487664813,1,12
0.0386272580080321,0.116125174809137,1.20188619037931,0.00191039968184337,0.255655337490787,0.483337648378543,0.00986785232091574,11.2313881357575,0.00208232973423714,13.1413580762419,1.94873670358399,17.7773028224491,1.29393627228392,1,13
0.0385528086216172,0.132527631568018,1.04054664779042,0.00895420251212351,0.247213908616315,0.475121648400604,0.00861631517371278,7.27981383113919,0.00322799161743764,11.4213729350531,1.69696577614397,15.4006674873438,1.93205818600005,1,14
0.0520592302208541,0.161285248989486,1.03077243008018,0.0209432515222766,0.463057462147068,0.376031556319293,0.0165288585964305,4.8477808918744,0.00710489480659874,6.79005540075176,1.50936663277941,18.7251194085286,2.24863886177161,1,15
0.0540147077760567,0.185060300138307,1.06464617106728,0.016160507546975,0.390923679850457,0.492527798267311,0.0142246309635632,8.66404985802371,0.00305165898833787,6.19393149526544,1.36700615622647,18.7917116992349,2.45014669369888,1,16
0.0555150604383163,0.056183169488962,1.01769726235709,0.103822070449383,0.288752688968139,0.154471888215745,0.022913953782527,6.99051683445648,0.00506622448597732,4.03710031175051,3.18218964306283,3.52509312656966,17.1883048836595,2,1
0.0456716704115085,0.102654430579918,1.20466858904361,0.0963462569332399,0.451089627672724,0.230551888839774,0.0101876567378836,4.72969960926656,0.00580989017746995,11.8246420218623,1.70022468620412,14.60071249351,13.9062707993003,2,2
0.0618093916175253,0.152913686070794,1.09165900389345,0.0939802689900737,0.433012789392542,0.176430229984696,0.0057140246749881,6.96069139652618,0.00274814263891078,15.0958031654706,1.21251469233123,18.9735776239626,18.4104344340552,2,3
0.0535184886149969,0.128890050924962,1.02319726086128,0.0527659026841728,0.420522612535993,0.295058547182042,0.0119029259918975,3.9992521547971,0.00480589991110864,10.7332213317008,1.36959366493096,18.9856031100971,14.3894072292047,2,4
